"Time","Server response time - healthcareorchestration"
2024-08-10 10:56:00,
2024-08-10 10:57:00,
2024-08-10 10:58:00,
2024-08-10 10:59:00,
2024-08-10 11:00:00,
2024-08-10 11:01:00,
2024-08-10 11:02:00,
2024-08-10 11:03:00,
2024-08-10 11:04:00,
2024-08-10 11:05:00,
2024-08-10 11:06:00,
2024-08-10 11:07:00,2.32 s
2024-08-10 11:08:00,2.34 s
2024-08-10 11:09:00,1.89 s
2024-08-10 11:10:00,1.21 s
2024-08-10 11:11:00,877 ms
2024-08-10 11:12:00,689 ms
2024-08-10 11:13:00,586 ms
2024-08-10 11:14:00,584 ms
2024-08-10 11:15:00,
2024-08-10 11:16:00,
2024-08-10 11:17:00,
2024-08-10 11:18:00,
2024-08-10 11:19:00,
2024-08-10 11:20:00,
2024-08-10 11:21:00,
2024-08-10 11:22:00,
2024-08-10 11:23:00,
2024-08-10 11:24:00,
2024-08-10 11:25:00,
2024-08-10 11:26:00,
2024-08-10 11:27:00,
2024-08-10 11:28:00,
2024-08-10 11:29:00,
2024-08-10 11:30:00,
2024-08-10 11:31:00,
2024-08-10 11:32:00,
2024-08-10 11:33:00,
2024-08-10 11:34:00,
2024-08-10 11:35:00,
2024-08-10 11:36:00,
2024-08-10 11:37:00,
2024-08-10 11:38:00,
2024-08-10 11:39:00,
2024-08-10 11:40:00,
2024-08-10 11:41:00,
2024-08-10 11:42:00,
2024-08-10 11:43:00,
2024-08-10 11:44:00,
