"Time","Process CPU - healthcareorchestration"
2024-08-10 10:56:00,2.00%
2024-08-10 10:57:00,1.17%
2024-08-10 10:58:00,0.950%
2024-08-10 10:59:00,0.883%
2024-08-10 11:00:00,0.917%
2024-08-10 11:01:00,0.869%
2024-08-10 11:02:00,0.967%
2024-08-10 11:03:00,0.850%
2024-08-10 11:04:00,0.900%
2024-08-10 11:05:00,0.883%
2024-08-10 11:06:00,0.984%
2024-08-10 11:07:00,0.950%
2024-08-10 11:08:00,21.9%
2024-08-10 11:09:00,24.6%
2024-08-10 11:10:00,21.4%
2024-08-10 11:11:00,22.9%
2024-08-10 11:12:00,23.7%
2024-08-10 11:13:00,23.5%
2024-08-10 11:14:00,21.3%
2024-08-10 11:15:00,6.08%
2024-08-10 11:16:00,1.43%
2024-08-10 11:17:00,1.42%
2024-08-10 11:18:00,1.46%
2024-08-10 11:19:00,1.46%
2024-08-10 11:20:00,1.44%
2024-08-10 11:21:00,1.43%
2024-08-10 11:22:00,1.48%
2024-08-10 11:23:00,1.45%
2024-08-10 11:24:00,1.46%
2024-08-10 11:25:00,1.45%
2024-08-10 11:26:00,1.46%
2024-08-10 11:27:00,1.45%
2024-08-10 11:28:00,1.48%
2024-08-10 11:29:00,1.46%
2024-08-10 11:30:00,1.45%
2024-08-10 11:31:00,1.45%
2024-08-10 11:32:00,1.45%
2024-08-10 11:33:00,1.44%
2024-08-10 11:34:00,1.48%
2024-08-10 11:35:00,1.42%
2024-08-10 11:36:00,1.41%
2024-08-10 11:37:00,1.12%
2024-08-10 11:38:00,1.01%
2024-08-10 11:39:00,1.09%
2024-08-10 11:40:00,0.983%
2024-08-10 11:41:00,
2024-08-10 11:42:00,
2024-08-10 11:43:00,
2024-08-10 11:44:00,
